id,numero_item,descricao_item,grupo_itens,unidade_de_medida_de_estoque,ultimo_preco_avaliacao,ultimo_preco_compra,estoque_baixo,unidade_medida_estoque,data_registro
22,ADT000022,FLUIDO REFRIGERANTE R-141B ONU3161,04-ADITIVOS,,,,,LITRO,2025-07-21 17:53:52.095246+00
23,ADT000023,FLUIDO TRATAMENTO DIESEL ACTOIL A550 A95898600370001,04-ADITIVOS,,,,,LITRO,2025-07-21 17:53:52.095246+00
24,ADT000024,FLUIDO TRATAMENTO DO SISTEMA DIESEL A95898600370500,04-ADITIVOS,,,,,LITRO,2025-07-21 17:53:52.095246+00
25,ADT000025,FLUIDOS DO FREIO / DBL7760.40 A0009890807,04-ADITIVOS,,,,,LITRO,2025-07-21 17:53:52.095246+00
26,ADT000026,LIMPADOR DA CAMARA DE COMBUSTAO FLEX TUNAP137,04-ADITIVOS,,,,,LITRO,2025-07-21 17:53:52.095246+00
27,ADT000027,LIMPADOR DE SISTEMA DE COMBUSTIVEL KAMPAI CARE042502,04-ADITIVOS,,,178.41,,LITRO,2025-07-21 17:53:52.095246+00
28,ADT000028,LIMPADOR DE SISTEMA DE INJECAO DIESEL BRPRT20076,04-ADITIVOS,,,,,LITRO,2025-07-21 17:53:52.095246+00
29,ADT000029,LIQUIDO DA CAIXA EVAPORADORA 1784,04-ADITIVOS,,,,,LITRO,2025-07-21 17:53:52.095246+00
30,ADT000030,ADITIVO RADIADOR LIQUIDO DE ARREFECIMENTO 2154246,04-ADITIVOS,,,,,LITRO,2025-07-21 17:53:52.095246+00
31,ADT000031,ADITIVO RADIADOR LIQUIDO DE ARREFECIMENTO A0009890925,04-ADITIVOS,,,56.0,,LITRO,2025-07-21 17:53:52.095246+00
32,ADT000032,ADITIVO RADIADOR LIQUIDO DE ARREFECIMENTO ANTICONGELANTE DBL770020,04-ADITIVOS,,,,,LITRO,2025-07-21 17:53:52.095246+00
33,ADT000033,ADITIVO RADIADOR LIQUIDO DE ARREFECIMENTO VO22567314,04-ADITIVOS,,,,,LITRO,2025-07-21 17:53:52.095246+00
34,ADT000034,FLUIDO OLEO CORTE METAL 500ML SUPER 1 DIMETIL,04-ADITIVOS,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
35,ADT000035,ADITIVO RADIADOR PETRONAS COOLANT UP 76367R61BR,04-ADITIVOS,,,2200.026666,,LITRO,2025-07-21 17:53:52.095246+00
36,ADT000036,LIQUIDO DE ARREFECIMENTO 22567335,04-ADITIVOS,,,,,LITRO,2025-07-21 17:53:52.095246+00
37,ADT000037,COOLANT FLUIDO INORGANICO P/ RADIADOR,04-ADITIVOS,,,,,LITRO,2025-07-21 17:53:52.095246+00
38,ADT000038,(1) LIQUIDO DE ARREFECIMENTO LIEBHERR ANTIFREEZE OS MIX 11657390,04-ADITIVOS,,,,,LITRO,2025-07-21 17:53:52.095246+00
39,ADT000039,LIQUIDO DE ARREFECIMENTO ELC CAT EC-1,04-ADITIVOS,,,,,LITRO,2025-07-21 17:53:52.095246+00
40,ADT000040,DESENGRIPANTE 300ML,04-ADITIVOS,,,5.98,,UNIDADE,2025-07-21 17:53:52.095246+00
41,ADT000041,DESENGRIPANTE WHITE LUB,04-ADITIVOS,,,9.91,,UNIDADE,2025-07-21 17:53:52.095246+00
42,ADT000042,LIMPA BICO DIESEL,04-ADITIVOS,,,50.0,,UNIDADE,2025-07-21 17:53:52.095246+00
43,ADT000043,LIQUIDO DE ARREFECIMENTO 6983128PK,04-ADITIVOS,,,,,LITRO,2025-07-21 17:53:52.095246+00
44,ADT000044,LIQUIDO ANTICONGELANTE TEEC-L35,04-ADITIVOS,,,,,LITRO,2025-07-21 17:53:52.095246+00
45,ADT000045,ROST OFF MECHANIC 300ML/200G Q030890200301,04-ADITIVOS,,,20.0,,UNIDADE,2025-07-21 17:53:52.095246+00
46,ADT000046,LIMPADOR DE SISTEMA COMBUSTIVEL CWPA1786,04-ADITIVOS,,,178.41,,LITRO,2025-07-21 17:53:52.095246+00
47,ADT000047,LIMPADOR SISTEMA DE INJECAO DIESEL 03500292,04-ADITIVOS,,,330.0,,UNIDADE,2025-07-21 17:53:52.095246+00
48,ADT000048,(1) FLUIDO HIDRAULICO 1 LITRO VO8291052,04-ADITIVOS,,,51.84,,LITRO,2025-07-21 17:53:52.095246+00
49,ADT000049,(1) ACTIOIL 550001734,04-ADITIVOS,,,98.758333,,UNIDADE,2025-07-21 17:53:52.095246+00
50,ADT000050,AGUA DESMINERALIZADA 9Q03406,04-ADITIVOS,,,4.8935,,LITRO,2025-07-21 17:53:52.095246+00
51,ADT000051,ADITIVO RADIADOR PARAFLU,04-ADITIVOS,,,38.0,,LITRO,2025-07-21 17:53:52.095246+00
52,ADT000052,(1) LIQUIDO DE ARREFECIMENTO VO53540197,04-ADITIVOS,,,945.34,,LITRO,2025-07-21 17:53:52.095246+00
53,ADT000055,(1) LIMPADOR SISTEMA DE INJECAO DIESEL 03500292,04-ADITIVOS,,,310.5,,UNIDADE,2025-07-21 17:53:52.095246+00
54,ADT000056,FLUIDO DE ARREFECIMENTO PETRONAS 763679J1BR,04-ADITIVOS,,,11200.12,,CONTEINER,2025-07-21 17:53:52.095246+00
55,ADT000057,(1) FLUIDO REFRIGERANTE R-134A ONU3159 13KG BOTIJA,04-ADITIVOS,,,930.0,,UNIDADE,2025-07-21 17:53:52.095246+00
56,ADT000058,LIMPADOR SISTEMA DE INJECAO DIESEL 03500291,04-ADITIVOS,,,310.5,,UNIDADE,2025-07-21 17:53:52.095246+00
57,ADT000059,AGENTE ANTICORROSAO A0009892825,04-ADITIVOS,,,70.22,,UNIDADE,2025-07-21 17:53:52.095246+00
58,ADT000060,LIQUIDO DE ARREFECIMENTO VO24078856,04-ADITIVOS,,,1447.12,,LITRO,2025-07-21 17:53:52.095246+00
59,ARMARIO 16 POSICOES,ARMARIO 16 POSICOES,01-ATIVOS,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
60,ATCO000001,CONSTRUCAO ESCRITORIO OLHOS D'AGUA,61-ATIVO FIXO CONSTRUCOES E INST.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
61,ATCO000002,REFORMA DO ESCRITORIO MATRIZ - BH,61-ATIVO FIXO CONSTRUCOES E INST.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
62,ATCO000003,SISTEMA FOTOVOTAILCO CANADIAN - [NCM:85-41.43.00],61-ATIVO FIXO CONSTRUCOES E INST.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
63,ATCO000004,PORTA VIDRO FIXO 3 FOLHAS [NCM:76-10.10.00],61-ATIVO FIXO CONSTRUCOES E INST.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
64,ATCO000005,CONTAINER MGA 000,61-ATIVO FIXO CONSTRUCOES E INST.,,,16788.75,,UNIDADE,2025-07-21 17:53:52.095246+00
65,ATLE000001-NOVO,EH019-ESCAVADEIRA DE ESTEIRAS EC380DL CHASSI:VCEC380DH00281152,67-ATIVO FIXO LEASING,,,,,,2025-07-21 17:53:52.095246+00
6830,ELE000963,PORTA ESCOVA,24-MATERIAL ELETRICO,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
66,ATLE000002-NOVO,EH022-ESCAVADEIRA DE ESTEIRAS EC380DL CHASSI:VCEC380DV00281177,67-ATIVO FIXO LEASING,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
67,ATLE000003-NOVO,EH025-ESCAVADEIRA DE ESTEIRAS EC380DL CHASSI:VCEC380DC00281168,67-ATIVO FIXO LEASING,,,,,,2025-07-21 17:53:52.095246+00
68,ATLE000004-NOVO,EH021-ESCAVADEIRA DE ESTEIRAS EC380DL CHASSI:VCEC380DP00281173,67-ATIVO FIXO LEASING,,,,,,2025-07-21 17:53:52.095246+00
69,ATLE000005-NOVO,PF020-PERFURATRIZ PANTERA DP1500I NS:59819,67-ATIVO FIXO LEASING,,,,,,2025-07-21 17:53:52.095246+00
70,ATLE000006-NOVO,PF021-PERFURATRIZ PANTERA DP1500I NS:74159,67-ATIVO FIXO LEASING,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
71,ATLE000007-NOVO,PF036-PERFURATRIZ HIDRAULICA DX800T3 NS:81766 [NCM:84-30.41.10],67-ATIVO FIXO LEASING,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
72,ATLE000008-NOVO,PF022-PERFURATRIZ PANTERA DP1500I NS:74157,67-ATIVO FIXO LEASING,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
73,ATMQ000001,AFIADORA DE BIT PWHA17,62-ATIVO FIXO MAQ. E EQUIP.,,,4050.15,,UNIDADE,2025-07-21 17:53:52.095246+00
74,ATMQ000002,EHC209-ESCAVADEIRA HIDRAULICA CAT336 NS:CAT00336JGDY20987 [NCM:84-29.52.19],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
75,ATMQ000003,CRC303-CARREGADEIRA DE RODAS 966L NS:CAT00966PJ8R00267 [NCM:84-29.51.99],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
76,ATMQ000004,EHC213-ESCAVADEIRA HIDRAULICA SY750H NS:SY0753CC01078 [NCM:84-29.52.19],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
77,ATMQ000005,LANCA SY750 13757747 [NCM:84-31.49.29],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
78,ATMQ000006,EHC211-ESCAVADEIRA HIDRAULICA CAT345 NS:CAT00345AHYR10256 [NCM:84-29.52.19],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
79,ATMQ000007,MOTOR DE LOCOMOCAO CAT345 5918316 [NCM:84-08.90.90] (CATERPILLAR),62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
80,ATMQ000008,MTC412-MOTONIVELADORA 140K NS:CAT0140KPJPA06252 [NCM:84-29.20.90],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
81,ATMQ000009,EHC208-ESCAVADEIRA HIDRAULICA CAT336  NS:CAT0336DAZCT00402 [NCM:84-29.52.19],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
82,ATMQ000010,CRC305-CARREGADEIRA DE RODAS 950G NS:CAT00950KTN300559 [NCM:84-29.51.99],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
83,ATMQ000011,CRC304-CARREGADEIRA DE RODAS 966C NS:CAT00966CJ8R00547 [NCM:84-29.51.99],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
84,ATMQ000012,CRC306-CARREGADEIRA DE RODAS 950G NS:CAT00950ATN300566 [NCM:84-29.51.99],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
85,ATMQ000013,PF029 PERFURATRIZ HUDRAULICA DP1500,62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
86,ATMQ000014,PF034-PERFURATRIZ HIDRAULICA DP1500I NS:76615,62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
87,ATMQ000015,PF030-PERFURATRIZ HIDRAULICA DP1500I NS:78997 [NCM:84-30.41.90],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
88,ATMQ000016,PF032-PERFURATRIZ HIDRAULICA DP1500I NS:87606 [NCM:84-30.41.90],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
89,ATMQ000017,PF033-PERFURATRIZ HIDRAULICA DP1500I NS:89997 [NCM:84-30.41.90],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
90,ATMQ000019,GAIOLA PROTECAO DE PNEU [NCM:73-26.90.90],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
91,ATMQ000021,CM672 - MN009-MOTONIVELADORA,62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
92,ATMQ000022,COMPRESSOR DE AR 60PCM 425LTS 175PSI 15HP SUPER AR [NCM:84-14.80.11] (DIVERSOS),62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
93,ATMQ000023,PROPULSORA DE GRAXA PNEUMATICA 20KG,62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
94,ATMQ000024,"MAQUINA DE PRENSAR TERMINAIS EM MANGUEIRA 220/380V PRENSA DE 1/4'" A 2'" 4 TRAMAS [NCM:84-62.49.00]",62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
95,ATMQ000025,GAIOLA PROTECAO DE PNEU [NCM:73-26.90.90] (DIVERSOS),62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
96,ATMQ000026,MAQUINA SOLDA ( REFORMA DINEX),62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
97,ATMQ000027,PROPULSORA DE GRAXA PNEUMATICA 20KG [NCM:84-67.19.00] (DIVERSOS),62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
98,ATMQ000028,COMPRESSOR DE AR 60PCM 425LTS 175PSI 15HP SUPER AR [NCM:84-14.80.11] (DIVERSOS),62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
99,ATMQ000029,PROPULSORA DE GRAXA PNEUMATICA 20KG [NCM:84-13.81.00] (DIVERSOS),62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
100,ATMQ000030,"MAQUINA DE CORTE TIPO TARTARUGA TRILHO 1,8M [NCM:85-15.39.00] (DIVERSOS)",62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
101,ATMQ000031,MARCADOR DE PNEU 220V PNEUMARK [NCM:73-20.10.00] (DIVERSOS),62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
102,ATMQ000032,MAQUINA DE SOLDA ESAB ORIGO ARC 426 [NCM:85-15.21.00],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
103,ATMQ000033,MAQUINA DE SOLDA SMASHWELD 408,62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
104,ATMQ000034,MOTOBOMBA A GASOLINA B4T-710 [NCM:84-13.70.90] (DIVERSOS),62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
105,ATMQ000035,COMPRESSOR DE AR CONDICIONADO DP1500I 1789570 [NCM:84-14.30.91] (DIVERSOS),62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
106,ATMQ000036,KIT CAMERA DP1500I [NCM:85-43.70.99.00.0 ] (DIVERSOS),62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
107,ATMQ000037,GIRAFA GUINCHO HID 2 TON C/ PROLONGADOR DOBRAVEL VONDER [NCM:84-25.39.90] (DIVERSOS),62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
108,ATMQ000038,COMPRESSOR DE AR 60PCM 425LTS 175PSI 15HP SUPER AR [NCM:84-14.80.11] (DIVERSOS),62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
109,ATMQ000039,RADIO DE COMUNICACAO COM O ALARME [NCM:85-17.14.10] (DIVERSOS),62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
110,ATMQ000040,ARREBITADEIRA HIDROPNEUMATICA [NCM:82-05.59.00] (DIVERSOS),62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
111,ATMQ000041,"CHAVE DE IMPACTO 1'" LONGA 4300NM C/ 4 SOQUETES SIGMA SGT-0564 [NCM:84-67.11.90] (DIVERSOS)",62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
112,ATMQ000042,CARRINHO P/ TRANSPORTE DE TAMBOR 200L [NCM:84-28.39.90] (DIVERSOS),62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
113,ATMQ000043,CANCELA ELETRONICA [NCM:85-30.10.10] (DIVERSOS),62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
114,ATMQ000044,INVERSORA DE SOLDA TIG ARCWELD200I-ST 220V MON S/TOCHA LINCOLN [NCM:85-15.21.00] (DIVERSOS),62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
115,ATMQ000045,GAIOLA PROTECAO DE PNEU [NCM:73-08.90.10] (DIVERSOS),62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
116,ATMQ000046,TENDA PIRAMIDAL 10X10 [NCM:63-06.29.90] (DIVERSOS),62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
117,ATMQ000047,GAIOLA PROTECAO DE PNEU [NCM:73-14.50.00] (DIVERSOS),62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
118,ATMQ000048,CAMINHAO HIDROVACUO  M. BENZ ATECO2426 6X2 CHASSI:9BM958166KB136758 [NCM:87-01.21.00],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
119,ATMQ000049,GERADOR DISIEL 6K VA PARTIDA ELETRICA 110/220V TDG7000EXP [NCM:85-02.11.10],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
120,ATMQ000050,EH030-ESCAVADEIRA HIDRAULICA SY750H NS:0000SY0753CC01088 [NCM:84-29.52.19],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
121,ATMQ000051,AFIADORA DE BIT CME ROBOT ARM ESD 3 203-0015-00 [NCM:84-60.39.00] (CME),62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
122,ATMQ000052,COMPRESSOR 7H15 24V 8PK 153MM D8T YN437190-0661 [NCM:84-14.80.11] (CATERPILLAR),62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
123,ATMQ000053,EH031-ESCAVADEIRA HIDRAULICA SY750H NS:0000SY0753CC02768 [NCM:84-29.52.19],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
124,ATMQ000054,TE014-TRATOR DE ESTEIRA D8T NS:CAT00D8TEMB800792 [NCM:84-29.11.90],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
125,ATMQ000055,AFIADORA DE BITS ELETRICA MINI JUNIOR  203000100 [NCM:84-60.39.00] (DIVERSOS),62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
126,ATMQ000056,EH033-ESCAVADEIRA HIDRAULICA NS:SY0953CC00818 [NCM:84-29.52.19],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
127,ATMQ000057,MAQUINA PARA MONTAR E DESMONTAR PNEUS TRIFASICA 380V 60HZ T998 [NCM:84-77.51.00] (DIVERSOS),62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
128,ATMQ000058,EH040-ESCAVADEIRA HIDRAULICA SY870 NS:SY085CD3106K8 [NCM:84-29.52.19],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
129,ATMQ000059,PC025-CARREGADEIRA DE RODAS 966 NS: CAT00966JJ8R00546 [NCM:84-29.51.99],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
130,ATMQ000060,PC026-CARREGADEIRA DE RODAS 966 NS: CAT00966VJ8R00548 [NCM:84-29.51.99],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
131,ATMQ000061,PC030-CARREGADEIRA DE RODAS 950 NS: CAT00950ETN300569 [NCM:84-29.51.99],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
132,ATMQ000062,PC029-CARREGADEIRA DE RODAS 950 NS: CAT00950LTN300567 [NCM:84-29.51.99],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
133,ATMQ000063,PC028-CARREGADEIRA DE RODAS 950 NS: CAT00950VTN300565 [NCM:84-29.51.99],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
134,ATMQ000064,PC027-CARREGADEIRA DE RODAS 950 NS: CAT00950CTN300564 [NCM:84-29.51.99],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
135,ATMQ000065,RE007-RETROESCAVADEIRA CAT416 NS:CAT00416EL9P12786 [NCM:84-29.59.00],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
136,ATMQ000066,PC031-CARREGADEIRA DE RODAS 950 NS:CAT00950PTN300544 [NCM:84-29.51.99],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
137,ATMQ000067,UNIDADE DE COMUNICACAO 88894000 88894000 [NCM:85-17.62.77],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
138,ATMQ000068,EH042-ESCAVADEIRA HIDRAULICA SYS750 NS:SY0753CD31958 [NCM:84-29.52.19],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
139,ATMQ000069,EH041-ESCAVADEIRA HIDRAULICA SYS980  NS:SY0953CC00798 [NCM:84-29.52.19],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
140,ATMQ000070,GERADOR DIESEL 14KVA 220V PARTIDA ELETRICA BD15000E3G2 [NCM:85-02.11.10],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
141,ATMQ000071,COMPRESSOR 7H15 24V 2A 132MM 8 ORELHAS MAQUINA VOL [NCM:84-14.30.91],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
142,ATMQ000072,LAVADORA ALTA PRESSAO RE143 220V C/ MANG 9MTS 700L/H 2175LB 2.9KW STIHL [NCM:84-24.30.10],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
143,ATMQ000073,PROPULSORA DE GRAXA PNEUMATICA 20KG [NCM:84-13.81.00],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
144,ATMQ000074,TENDA PIRAMIDAL 6X6 [NCM:63-06.29.90],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
145,ATMQ000075,DRONE MINI 3 DJI + FLY MORE COMBO PLUS RC C/ TELA [NCM:88-02.20.10],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
146,ATMQ000076,GERADOR DIESEL 14KVA 220V PARTIDA ELETRICA BD15000E3G2 [NCM:85-02.11.10],62-ATIVO FIXO MAQ. E EQUIP.,,,,,UNIDADE,2025-07-21 17:53:52.095246+00
